Original filename,New web filename,Alt text,Suggested use
DSC07691.jpg,flooring-and-carpet-samples-with-floor-plan.webp,Architect's hands comparing timber flooring and carpet samples beside a tablet showing an annotated house floor plan,Interior design service page
DSC07696.jpg,architect-reviewing-drawings-in-studio.webp,Architect reviewing printed drawings at a laptop in a bright studio workspace,Services / process page
DSC07699.jpg,hand-annotated-floor-plan-on-tablet.webp,"Hand-annotated residential floor plan on a tablet showing kitchen, pantry, study and boot room",Services / process page
DSC07703.jpg,architectural-technician-working-at-laptop.webp,Architectural technician working at a laptop against a green tiled studio wall,General site imagery
DSC07708.jpg,proposed-plan-design-document-on-screen.webp,"Proposed Plan page of a design document open on a laptop, showing a floor plan and written proposals",Services / process page
DSC07723.jpg,senior-architect-working-in-studio.webp,Senior architect concentrating at her laptop in the studio,General site imagery
DSC07738.jpg,architectural-assistant-reviewing-project-notes.webp,"Architectural assistant reviewing project notes at her laptop, pen in hand",General site imagery
DSC07750.jpg,sketching-floor-plan-on-tablet-with-stylus.webp,Close-up of an architect sketching a floor plan on a tablet with a stylus,Services / process page
DSC07761.jpg,architecture-team-collaborating-around-table.webp,Architecture team collaborating around a large shared table in a daylit studio,About page / careers
DSC07763.jpg,design-team-working-together-in-studio.webp,Design team working together on laptops and tablets at a shared studio table,About page / careers
DSC07768.jpg,architect-drawing-on-tablet-with-team.webp,Architect drawing on a tablet while colleagues work alongside her,About page / careers
DSC07769.jpg,hands-annotating-drawing-on-tablet.webp,Close-up of hands annotating a technical drawing on a tablet,Services / process page
DSC07775.jpg,marking-up-floor-plan-on-tablet.webp,Architect marking up a floor plan on a tablet next to an open laptop,Services / process page
DSC07776.jpg,cad-drawing-open-on-laptop-screen.webp,Colour-coded CAD drawing open on a laptop screen on a reclaimed timber desk,Services / process page
DSC07778.jpg,reviewing-cad-drawings-together.webp,Two colleagues reviewing CAD drawings across a laptop and tablet,Services / process page
DSC07789.jpg,architect-sketching-by-studio-window.webp,Architect sketching on a tablet beside a studio window,Services / process page
DSC07792.jpg,architect-focused-on-laptop-work.webp,Architect working intently at a laptop under warm studio lighting,General site imagery
DSC07800.jpg,smiling-architect-at-her-desk.webp,Smiling architect looking up from her laptop at her studio desk,General site imagery
DSC07802.jpg,friendly-architect-smiling-in-studio.webp,Architect smiling warmly to camera from behind her laptop in the studio,General site imagery
DSC07806.jpg,paint-colour-and-material-samples-flat-lay.webp,"Flat lay of paint colour swatches, fabric samples, timber and carpet finishes on a timber table",Interior design service page
DSC07809.jpg,interior-finishes-and-fabric-samples.webp,"Interior finishes selection with paint swatches, striped fabric and flooring samples",Interior design service page
DSC07811.jpg,director-discussing-project-with-colleague.webp,Director standing to discuss a project with a colleague at her laptop,General site imagery
DSC07820.jpg,pointing-out-detail-on-floor-plan.webp,Colleague pointing out a detail on a floor plan displayed on a tablet,Services / process page
DSC07823.jpg,discussing-house-floor-plan-on-tablet.webp,Finger indicating a room on a detailed house floor plan shown on a tablet,Services / process page
DSC07828.jpg,mentoring-a-colleague-at-the-screen.webp,Architect leaning in to talk a colleague through work on screen,General site imagery
DSC07831.jpg,design-sketches-on-tablet-at-workstation.webp,Design sketches displayed on a tablet at a studio workstation,Services / process page
DSC07837.jpg,architect-working-at-shared-studio-table.webp,Architect working at a laptop across a shared studio table,General site imagery
DSC07842.jpg,architecture-studio-team-at-work.webp,Members of the architecture team working side by side along a long studio table,About page / careers
DSC07846.jpg,open-plan-architecture-studio-workspace.webp,Wide view of the open-plan studio with the team at work,Services / process page
DSC07848.jpg,architectural-designer-working-at-laptop.webp,Architectural designer working at a laptop by a large studio window,General site imagery
DSC07853.jpg,architect-typing-at-laptop-in-studio.webp,Architect typing at a laptop with colleagues working in the background,General site imagery
DSC07857.jpg,colleagues-working-side-by-side.webp,Two colleagues working side by side on laptops in the studio,General site imagery
DSC07860.jpg,working-on-cad-drawings-in-studio.webp,Architect working on CAD drawings at a laptop in the studio,Services / process page
DSC07877.jpg,full-architecture-team-in-design-meeting.webp,The full architecture team gathered around a table for a design meeting,About page / careers
DSC07885.jpg,architectural-assistant-at-laptop.webp,Architectural assistant working at a laptop in the studio lounge area,General site imagery
DSC07889.jpg,team-reviewing-design-on-laptop.webp,Three colleagues reviewing a design together on a laptop screen,About page / careers
DSC07894.jpg,colleagues-problem-solving-at-laptop.webp,Two architects problem-solving together over a laptop,General site imagery
DSC07895.jpg,discussing-design-details-at-laptop.webp,"Architects discussing design details, one gesturing as she explains",General site imagery
DSC07900.jpg,informal-design-review-conversation.webp,Informal design review conversation between three colleagues in the studio,General site imagery
DSC07903.jpg,architecture-team-laughing-during-meeting.webp,Architecture team sharing a laugh during a project meeting,About page / careers
DSC07909.jpg,architects-discussing-a-project-together.webp,Two architects in conversation across a studio table,General site imagery
DSC07912.jpg,cad-plan-showing-storage-dimensions.webp,CAD floor plan on a laptop showing storage dimensions and a staircase specification note,Services / process page
DSC07915.jpg,studio-and-meeting-space-interior.webp,Interior of the studio and meeting space with flowers and soft seating,General site imagery
DSC07928.jpg,two-architects-reviewing-plans-at-table.webp,Two architects reviewing plans on a tablet at a round meeting table,Services / process page
DSC07937.jpg,architect-smiling-during-team-discussion.webp,Architect smiling during a relaxed team discussion,About page / careers
DSC07944.jpg,explaining-the-design-to-a-colleague.webp,Architect standing to explain a design on a tablet to a seated colleague,General site imagery
DSC07948.jpg,site-plan-on-tablet-being-explained.webp,Hand gesturing over a site plan displayed on a tablet,Services / process page
DSC07949.jpg,discussing-a-house-extension-design.webp,Two architects discussing a house extension design shown on a tablet,General site imagery
DSC07952.jpg,presenting-design-proposals-at-a-meeting.webp,Architect presenting design proposals on a tablet across a meeting table,Services / process page
DSC07957.jpg,sketching-over-a-design-proposal.webp,Architect sketching an elevation over a design proposal document on a tablet,Services / process page
DSC07960.jpg,walking-through-the-design-proposals.webp,Architect walking a colleague through the design proposals on screen,Services / process page
DSC07963.jpg,senior-architect-reviewing-a-colleagues-work.webp,Senior architect leaning over to review a colleague's work,General site imagery
DSC07969.jpg,informal-catch-up-in-the-studio.webp,Informal catch-up between colleagues in the studio lounge,General site imagery
DSC07978.jpg,discussing-material-choices-with-a-colleague.webp,Two colleagues discussing material choices with samples laid out on the table,General site imagery
DSC07983.jpg,design-and-materials-discussion.webp,Architects in discussion with paint and fabric samples on the table between them,General site imagery
DSC07990.jpg,portrait-architect-grey-polo-01.webp,Portrait of a member of the architecture team,Team / About page
DSC07994.jpg,portrait-architect-grey-polo-02.webp,Portrait of a member of the architecture team,Team / About page
DSC07997.jpg,portrait-architect-grey-polo-standing.webp,Standing portrait of a member of the architecture team in the studio,Team / About page
DSC08003.jpg,portrait-architect-grey-polo-03.webp,Portrait of a member of the architecture team,Team / About page
DSC08009.jpg,portrait-architect-white-blazer-01.webp,Portrait of a member of the architecture team,Team / About page
DSC08013.jpg,portrait-architect-white-blazer-02.webp,Portrait of a member of the architecture team,Team / About page
DSC08014.jpg,portrait-architect-white-blazer-03.webp,Portrait of a member of the architecture team,Team / About page
DSC08040.jpg,portrait-architect-brown-blazer-01.webp,Portrait of a member of the architecture team,Team / About page
DSC08045.jpg,portrait-architect-brown-blazer-02.webp,Portrait of a member of the architecture team,Team / About page
DSC08053.jpg,portrait-architect-brown-blazer-03.webp,Portrait of a member of the architecture team,Team / About page
DSC08060.jpg,portrait-architect-pink-lace-top-01.webp,Portrait of a member of the architecture team,Team / About page
DSC08061.jpg,portrait-architect-pink-lace-top-02.webp,Portrait of a member of the architecture team,Team / About page
DSC08066.jpg,portrait-architect-pink-lace-top-03.webp,Portrait of a member of the architecture team,Team / About page
DSC08081.jpg,portrait-architect-navy-jumper-01.webp,Portrait of a member of the architecture team,Team / About page
DSC08085.jpg,portrait-architect-navy-jumper-02.webp,Portrait of a member of the architecture team,Team / About page
DSC08087.jpg,portrait-architect-navy-jumper-03.webp,Portrait of a member of the architecture team,Team / About page
DSC08089.jpg,architecture-team-group-photo-01.webp,Group photo of the five-strong architecture team in the studio,About page / careers
DSC08093.jpg,architecture-team-group-photo-02.webp,The architecture team standing together in the studio,About page / careers
DSC08097.jpg,architecture-team-group-photo-03.webp,Group portrait of the architecture team beneath the studio chandelier,About page / careers
DSC08101.jpg,portrait-director-branded-sweatshirt-01.webp,Portrait of a director in a branded Thistle Architecture sweatshirt,Team / About page
DSC08103.jpg,portrait-director-branded-sweatshirt-02.webp,Portrait of a director in branded workwear in the studio,Team / About page
DSC08105.jpg,portrait-director-branded-sweatshirt-seated.webp,Seated portrait of a director in branded workwear in the studio lounge,Team / About page
DSC08107.jpg,architecture-team-in-branded-shirts-01.webp,The architecture team in branded shirts in the studio,About page / careers
DSC08111.jpg,architecture-team-in-branded-shirts-02.webp,Team group photo in branded Thistle Architecture shirts,About page / careers
DSC08112.jpg,architecture-team-in-branded-shirts-03.webp,Full-length team group photo in branded shirts,About page / careers
DSC08116.jpg,architecture-team-in-branded-shirts-04.webp,The architecture team standing together in branded shirts,About page / careers
DSC08122.jpg,architecture-team-in-branded-shirts-05.webp,Team group photo in branded shirts in the studio,About page / careers
DSC08124.jpg,architecture-team-in-branded-shirts-06.webp,The architecture team in branded shirts beneath the studio chandelier,About page / careers
DSC08128.jpg,architecture-team-in-branded-shirts-07.webp,Group photo of the architecture team in branded shirts,About page / careers
DSC08131.jpg,architecture-team-in-branded-shirts-08.webp,The architecture team together in branded shirts,About page / careers
DSC08132.jpg,architecture-team-in-branded-shirts-09.webp,Team group photo in branded Thistle Architecture shirts,About page / careers
